fonte_cod;descricao;fundo_id;vinculo;justificativa
099;CT-Biotecnologia e Recursos Genéticos, e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
100;CT-Saúde e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
101;CT-Verde Amarelo (Programa de Estímulo à Interação Universidade-Empresa para o Apoio à Inovação) e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
102;CT-Verde Amarelo (Programa de Inovação para Competitividade) e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais, Equalização de Taxas de Juros e Investimentos em Empresas Inovadoras;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
103;CT-Aquaviário e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
104;CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
105;CT-Mineral e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
106;Recursos do FISTEL destinados ao CT-Espacial e a Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
107;CT-Petro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
108;CT-Energia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
109;CT-Hidro e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
110;CT-Info e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
112;CT-Amazônia e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
114;Pesquisa, Desenvolvimento e Tecnologia de Interesse do Desenvolvimento Regional;FNDCT;a verificar;P&D de interesse do desenvolvimento regional (CT)
115;Projetos do Comando da Marinha para Construção e Reparos de Embarcações em Estaleiros Brasileiros;FMM;a verificar;Construção e reparo de embarcações em estaleiros brasileiros
117;Recursos Próprios Destinados ao Fundo Geral do Cacau;FCACAU;explícito;Fonte nomeia o fundo
118;CT-Infra e Financiamentos Reembolsáveis, Subvenções Econômicas e Despesas Administrativas/Operacionais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
119;Recursos do FISTEL Destinados ao CT-Infra e a Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
120;Recursos do FISTEL de Livre Aplicação na ANATEL e no Tesouro Nacional;FISTEL;explícito;Fonte nomeia o Fistel
124;Fundo Garantidor do Fundo de Financiamento Estudantil - FG-FIES;FIES;explícito;Fundo Garantidor do FIES
125;Benefícios do Regime Próprio de Previdência Social do FCDF - Contribuição Patronal;FCDF;explícito;Fonte nomeia o FCDF
135;Recursos do FISTEL destinados ao FSA;FNC;explícito;Recursos do Fistel destinados ao FSA (categoria de programação do FNC)
136;CT-Transporte e Financiamentos Reembolsáveis, Subvenções Econômicas, Despesas Administrativas/Operacionais e Ações Transversais;FNDCT;explícito;Fundo setorial de C&T (CT-*), que integra o FNDCT
144;Sinalização, engenharia de tráfego, engenharia de campo, policiamento, fiscalização, renovação de frota circulante, educação de trânsito e custeio do processo de habilitação de condutores de baixa renda;FUNSET;a verificar;Sinalização, fiscalização e educação de trânsito
146;Fundo Social – FS – Recursos destinados à Educação Pública e à Saúde nos termos do art. 6º da Lei nº 15.164, de 14 de julho de 2025;FSOCIAL;explícito;Fonte nomeia o Fundo Social
147;Destinações do Fundo Social - FS;FSOCIAL;explícito;Fonte nomeia o Fundo Social
149;Fundo Social - FS - Recursos para a educação pública, com prioridade para a educação básica, para políticas de assistência estudantil da educação superior e da educação profissional, científica e tecnológica, e para a saúde;FSOCIAL;explícito;Fonte nomeia o Fundo Social
179;Fundo de Combate e Erradicação da Pobreza;FCEP;explícito;Fonte nomeia o fundo
182;Fundo Nacional para Calamidades Públicas, Proteção e Defesa Civil (Funcap);FUNCAP;explícito;Fonte nomeia o fundo
201;Transferência Constitucional do Fundo de Participação dos Municípios;FPM;explícito;Transferência constitucional do FPM
202;Transferência Constitucional do Fundo de Participação dos Estados e do Distrito Federal;FPE;explícito;Transferência constitucional do FPE
207;Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Norte;FNO;a verificar;Transferência constitucional — financiamento ao setor produtivo do Norte
208;Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Centro-Oeste;FCO;a verificar;Transferência constitucional — financiamento ao setor produtivo do Centro-Oeste
209;Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Nordeste;FNE;a verificar;Transferência constitucional — financiamento ao setor produtivo do Nordeste
210;Transferência Constitucional para Aplicação em Programas de Financiamento ao Setor Produtivo da Região Nordeste - Semiárido;FNE;a verificar;Transferência constitucional — Nordeste/Semiárido
251;Transferências do Fundo Nacional de Segurança Pública - FNSP;FNSP;explícito;Fonte nomeia o fundo
