fundo;marco;classificacao;detalhe;ref_et
FNAC;BASSI;Contábil;;Tabela 2 (p. 10)
FNAC;AC1494;Contábil;;Tabela 2 (p. 10)
FNMA;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FNMA;BASSI;Contábil;;Tabela 2 (p. 10)
FNMA;AC1494;Contábil;;Tabela 2 (p. 10)
FMD;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FMD;BASSI;Contábil;;Tabela 2 (p. 10)
FMD;AC1494;Contábil;;Tabela 2 (p. 10)
FAHFA;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FAHFA;BASSI;Contábil;;Tabela 2 (p. 10)
FAHFA;AC1494;Contábil;;Tabela 2 (p. 10)
FSM;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FSM;BASSI;Contábil;;Tabela 2 (p. 10)
FSM;AC1494;Contábil;;Tabela 2 (p. 10)
FAER;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FAER;BASSI;Contábil;;Tabela 2 (p. 10)
FAER;AC1494;Contábil;;Tabela 2 (p. 10)
FAER;LC211;Superávit para a dívida;Superávit financeiro de 2025 a 2030 pode amortizar a dívida.;§4.2, nota 9 (p. 19)
FEX;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 10)
FEX;BASSI;Contábil;;Tabela 2 (p. 10)
FEX;AC1494;Contábil;;Tabela 2 (p. 10)
FEX;LC211;Superávit para a dívida;Superávit financeiro de 2025 a 2030 pode amortizar a dívida.;§4.2, nota 9 (p. 19)
FNAV;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 11)
FNAV;BASSI;Contábil;;Tabela 2 (p. 11)
FNAV;AC1494;Contábil;;Tabela 2 (p. 11)
FNAV;LC211;Superávit para a dívida;Superávit financeiro de 2025 a 2030 pode amortizar a dívida.;§4.2, nota 9 (p. 19)
FDEPM;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 11)
FDEPM;BASSI;Contábil;;Tabela 2 (p. 11)
FDEPM;AC1494;Contábil;;Tabela 2 (p. 11)
FNAS;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 11)
FNAS;BASSI;Contábil;Citado como extensão da Conta Única.;§2.3 (p. 14)
FNAS;AC1494;Contábil;;Tabela 2 (p. 11)
FUNSET;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 11)
FUNSET;BASSI;Contábil;;Tabela 2 (p. 11)
FUNSET;AC1494;Contábil;;Tabela 2 (p. 11)
FUNSET;LC211;Superávit para a dívida;Superávit financeiro de 2025 a 2030 pode amortizar a dívida.;§4.2, nota 9 (p. 19)
FNHIS;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 11)
FNHIS;BASSI;Contábil;;Tabela 2 (p. 11)
FNHIS;AC1494;Contábil;;Tabela 2 (p. 11)
FNCA;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 11)
FNCA;BASSI;Contábil;;Tabela 2 (p. 11)
FNCA;AC1494;Contábil;;Tabela 2 (p. 11)
FNI;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 11)
FNI;BASSI;Contábil;;Tabela 2 (p. 11)
FNI;AC1494;Contábil;;Tabela 2 (p. 11)
FCDF;DEC93872;Contábil;Enquadramento derivado da Tabela 2 do ET.;Tabela 2 (p. 11)
FCDF;BASSI;Contábil;;Tabela 2 (p. 11)
FCDF;AC1494;Contábil;;Tabela 2 (p. 11)
FCDF;LC200;Fora do limite do RFS;Transferência excluída dos limites de despesa primária.;§2.2, nota 4 (p. 10)
BTERRA;DEC93872;Financeiro;Enquadramento derivado da Tabela 3 do ET.;Tabela 3 (p. 11)
BTERRA;BASSI;Financeiro;;Tabela 3 (p. 11)
BTERRA;AC1494;Financeiro;;Tabela 3 (p. 11)
FUNGETUR;DEC93872;Financeiro;Citado no §2.1 como instrumento de financiamento e empréstimo.;§2.1 (p. 8)
FUNGETUR;BASSI;Financeiro;Citado como alocado em estabelecimento de crédito.;§2.3 (p. 14)
FUNGETUR;AC1494;Financeiro;;Tabela 3 (p. 11)
FNO;DEC93872;Financeiro;Citado no §2.1 (Fundos Constitucionais de Financiamento).;§2.1 (p. 8)
FNO;BASSI;Financeiro;Citado como alocado em estabelecimento de crédito.;§2.3 (p. 14)
FNO;AC1494;Financeiro;;Tabela 3 (p. 11)
FNO;LC200;Fora do limite do RFS;Transferência excluída dos limites de despesa primária.;§2.2, nota 4 (p. 10)
FCO;DEC93872;Financeiro;Citado no §2.1 (Fundos Constitucionais de Financiamento).;§2.1 (p. 8)
FCO;BASSI;Financeiro;;Tabela 3 (p. 11)
FCO;AC1494;Financeiro;;Tabela 3 (p. 11)
FCO;LC200;Fora do limite do RFS;Transferência excluída dos limites de despesa primária.;§2.2, nota 4 (p. 10)
FNE;DEC93872;Financeiro;Citado no §2.1 (Fundos Constitucionais de Financiamento).;§2.1 (p. 8)
FNE;BASSI;Financeiro;;Tabela 3 (p. 11)
FNE;AC1494;Financeiro;;Tabela 3 (p. 11)
FNE;LC200;Fora do limite do RFS;Transferência excluída dos limites de despesa primária.;§2.2, nota 4 (p. 10)
FDA;DEC93872;Financeiro;Enquadramento derivado da Tabela 3 do ET.;Tabela 3 (p. 11)
FDA;BASSI;Financeiro;;Tabela 3 (p. 11)
FDA;AC1494;Financeiro;;Tabela 3 (p. 11)
FDNE;DEC93872;Financeiro;Enquadramento derivado da Tabela 3 do ET.;Tabela 3 (p. 11)
FDNE;BASSI;Financeiro;;Tabela 3 (p. 11)
FDNE;AC1494;Financeiro;;Tabela 3 (p. 11)
FDCO;DEC93872;Financeiro;Enquadramento derivado da Tabela 3 do ET.;Tabela 3 (p. 11)
FDCO;BASSI;Financeiro;;Tabela 3 (p. 11)
FDCO;AC1494;Financeiro;;Tabela 3 (p. 11)
FAT;DEC93872;Não se enquadra;Acolhe as dimensões contábil e financeira numa única UO.;§2.1 (p. 9)
FAT;BASSI;Misto;;Tabela 4 (p. 12)
FAT;AC1494;Misto;;Tabela 4 (p. 12)
FUNCAFE;DEC93872;Não se enquadra;Executa despesas e realiza financiamentos.;Tabela 4 (p. 12)
FUNCAFE;BASSI;Misto;;Tabela 4 (p. 12)
FUNCAFE;AC1494;Misto;;Tabela 4 (p. 12)
FNDCT;DEC93872;Não se enquadra;Estruturado em duas UOs para contemplar suas dimensões.;§2.1 (p. 9)
FNDCT;BASSI;Misto;;Tabela 4 (p. 12)
FNDCT;AC1494;Misto;;Tabela 4 (p. 12)
FUNTTEL;DEC93872;Não se enquadra;Executa despesas e realiza financiamentos.;Tabela 4 (p. 12)
FUNTTEL;BASSI;Misto;;Tabela 4 (p. 12)
FUNTTEL;AC1494;Misto;;Tabela 4 (p. 12)
FUNTTEL;AC749;Fiscalizado;Aplicação dos recursos vinculados às finalidades setoriais.;§5.1 (p. 21)
FMM;DEC93872;Não se enquadra;Executa despesas e realiza financiamentos.;Tabela 4 (p. 12)
FMM;BASSI;Misto;;Tabela 4 (p. 12)
FMM;AC1494;Misto;;Tabela 4 (p. 12)
FNC;DEC93872;Não se enquadra;Executa despesas e realiza financiamentos.;Tabela 4 (p. 12)
FNC;BASSI;Misto;;Tabela 4 (p. 12)
FNC;AC1494;Misto;;Tabela 4 (p. 12)
FNMC;DEC93872;Não se enquadra;Executa despesas e realiza financiamentos.;Tabela 4 (p. 12)
FNMC;BASSI;Misto;;Tabela 4 (p. 12)
FNMC;AC1494;Misto;;Tabela 4 (p. 12)
FPE;STNGT;Transferência e repartição;;§2.3 (p. 14)
FPE;COSTA;Transferência (meramente contábil);;§2.1 e §2.3 (p. 9, 13)
FPM;STNGT;Transferência e repartição;;§2.3 (p. 14)
FPM;COSTA;Transferência (meramente contábil);;§2.1 e §2.3 (p. 9, 13)
FUNDEB;AC734;Contábil (transferência);Fundo especial de natureza contábil.;§5.1 (p. 20)
FUNDEB;AC1494;Sobreposição;A complementação ao Fundeb, com recursos do Fundo Social alocados na UO do FNDE, aparece em três fundos.;§5.1 (p. 20)
FUNDEB;LC200;Fora do limite do RFS;Complementação da União excluída dos limites.;§2.2, nota 4 (p. 10)
FSOCIAL;AC1494;Sobreposição;Recursos do Fundo Social na complementação ao Fundeb (UO do FNDE).;§5.1 (p. 20)
FNDE;AC1494;Sobreposição;UO onde se aloca a complementação ao Fundeb.;§5.1 (p. 20)
FNDE;ET2026;Autarquia (fundo impróprio);Criado como autarquia pela Lei nº 5.537/1968, com personalidade jurídica própria.;§3.2 (p. 15-16)
FIES;AC3001;Fiscalizado;"Irregularidades em financiamentos e garantias; risco de insustentabilidade.";§5.1 (p. 21)
FIPEM;PRIVADOS;Natureza privada;"Gerido pela Caixa; recursos fora do OGU; TC 024.312/2024-0.";§6 (p. 25-26)
FIPEM;PLP2025;Alvo de vedação proposta;;§7 (p. 29)
FNDIT;PRIVADOS;Natureza privada;"Gerido pelo BNDES; programa Mover.";§6 (p. 25)
FNDIT;PLP2025;Alvo de vedação proposta;;§7 (p. 29)
